TICKER	DATE	OPEN	HIGH	LOW	CLOSE	VOL	WAPRICE
RTSI	1998-04-23	323.84	324.48	322.1	322.1		
RTSI	1998-04-24	322.82	330.4	322.82	326.16		
RTSI	1998-04-27	324.1	324.1	309.63	309.63		
RTSI	1998-04-28	304.25	305.18	303.08	304.13		
RTSI	1998-04-29	305.77	308.63	305.55	306.21		
RTSI	1998-04-30	307.53	312.37	305.67	312.37		
RTSI	1998-05-05	320.23	320.23	315.21	315.21		
RTSI	1998-05-06	312.62	313.22	310.28	310.61		
RTSI	1998-05-07	307.23	307.3	304.74	304.74		
RTSI	1998-05-08	301.1	305.02	301.1	302.82		
RTSI	1998-05-12	300.46	300.46	290.72	290.72		
RTSI	1998-05-13	279.33	279.33	274.93	279.19		
RTSI	1998-05-14	280.29	280.29	263.66	263.66		
RTSI	1998-05-15	258.97	259.23	251.34	258.1		
RTSI	1998-05-18	247.49	247.49	227.61	227.61		
RTSI	1998-05-19	238.16	238.63	234.68	236.58		
RTSI	1998-05-20	226.74	233.15	226.74	233.15		
RTSI	1998-05-21	238.29	238.47	229.87	230.23		
RTSI	1998-05-22	226.68	226.68	223.15	225.41		
RTSI	1998-05-25	222.17	222.17	213.44	213.44		
RTSI	1998-05-26	203.81	209.63	203.81	209.33		
RTSI	1998-05-27	194.45	194.45	182.21	187.23		
RTSI	1998-05-28	199.53	203.47	197.8	198.74		
RTSI	1998-05-29	195.06	196.14	189.08	191.29		
RTSI	1998-06-01	185.67	185.67	171.71	171.71		
RTSI	1998-06-02	175.81	192.75	175.81	192.75		
RTSI	1998-06-03	202.92	211.67	202.92	209.07		
RTSI	1998-06-04	215.17	216.47	208.03	208.61		
RTSI	1998-06-05	208.86	210.77	207.53	207.65		
RTSI	1998-06-08	203.23	207.14	203.23	205.31		
RTSI	1998-06-09	203.97	203.97	195.02	196.45		
RTSI	1998-06-10	184.19	189.16	184.19	184.26		
RTSI	1998-06-11	176.23	178.13	174.1	178.13		
RTSI	1998-06-15	170.59	171.35	164.77	165.11		
RTSI	1998-06-16	162.16	170.42	162.16	169.02		
RTSI	1998-06-17	173.66	181.99	170.03	181.99		
RTSI	1998-06-18	190.92	190.92	176.67	177.24		
RTSI	1998-06-19	170.23	176.6	170.23	174.65		
RTSI	1998-06-22	172.86	173.03	170.97	172.37		
RTSI	1998-06-23	172.01	172.62	170.81	172.61		
RTSI	1998-06-24	174.34	178.47	174.18	178.21		
RTSI	1998-06-25	177.65	177.65	172.57	172.57		
RTSI	1998-06-26	163.34	166.12	163.3	163.99		
RTSI	1998-06-29	157.06	157.37	153.22	153.97		
RTSI	1998-06-30	154.24	154.24	149.98	151.35		
RTSI	1998-07-01	154.74	154.74	145.72	145.72		
RTSI	1998-07-02	142.6	144.65	140.99	144.21		
RTSI	1998-07-03	145.76	151.33	145.76	151.33		
RTSI	1998-07-06	150.55	150.55	145.01	145.01		
RTSI	1998-07-07	138.86	138.86	131.71	138.47		
RTSI	1998-07-08	136.74	136.74	132.57	134.81		
RTSI	1998-07-09	135.51	137.35	135.51	136.19		
RTSI	1998-07-10	138.16	144.02	138.16	144.02		
RTSI	1998-07-13	147.56	157.21	147.56	157.2		
RTSI	1998-07-14	174.57	184.07	174.57	183.65		
RTSI	1998-07-15	178.82	190.56	178.82	190.56		
RTSI	1998-07-16	189.36	189.36	181.32	181.32		
RTSI	1998-07-17	187.21	193.35	187.21	193.35		
RTSI	1998-07-20	194.35	194.51	190.54	193.02		
RTSI	1998-07-21	187.34	188.75	183.95	183.95		
RTSI	1998-07-22	175.37	175.37	168.7	171.73		
RTSI	1998-07-23	167.78	167.78	159.86	159.86		
RTSI	1998-07-24	159.21	160.33	156.66	157.74		
RTSI	1998-07-27	153.76	153.76	143.46	143.46		
RTSI	1998-07-28	145.38	149.24	139.66	147.28		
RTSI	1998-07-29	147.16	150.77	147.16	147.96	10	149.3713
RTSI	1998-07-30	150.26	153.23	150.17	150.17	13	151.4531
RTSI	1998-07-31	155.49	156.27	149.65	149.65	15	153.1887
RTSI	1998-08-03	146.6	146.6	144.86	145.64	13	145.7917
RTSI	1998-08-04	145.12	148.74	145.12	147.21	15	147.393
RTSI	1998-08-05	144.23	144.91	141.68	141.68	14	143.33
RTSI	1998-08-06	142.34	142.58	135.88	135.88	13	140.3178
RTSI	1998-08-07	133.44	133.44	128.86	132.86	14	130.9151
RTSI	1998-08-10	128.26	128.26	120.91	120.91	13	126.1882
RTSI	1998-08-11	115.34	115.34	106.58	109.9	15	109.6823
RTSI	1998-08-12	115.12	115.12	108.19	108.19	13	111.4754
RTSI	1998-08-13	97.38	101.17	95.42	101.17	13	97.9735
RTSI	1998-08-14	105.21	116.55	105.21	115	13	110.5679
RTSI	1998-08-17	111.06	117.41	108.85	109.43	11	113.624
RTSI	1998-08-18	103.86	103.86	99.07	99.58	13	100.8828
RTSI	1998-08-19	97.36	97.36	88.21	90.19	13	90.6862
RTSI	1998-08-20	88.55	88.71	86.57	86.57	13	87.4759
RTSI	1998-08-21	82.76	82.76	79.5	81.76	13	80.8915
RTSI	1998-08-24	80.83	86.69	80.83	86.4	15	84.7362
RTSI	1998-08-25	87.39	89.57	87.39	88.5	13	88.653
RTSI	1998-08-26	82.87	82.87	76.26	76.26	13	79.9408
RTSI	1998-08-27	72.78	73.68	63.2	63.2	13	69.1262
RTSI	1998-08-28	62.87	68.96	61.15	66.77	13	64.6468
RTSI	1998-08-31	66.31	66.31	64.26	65.61	13	65.4474
RTSI	1998-09-01	63.01	66.75	62.93	65.66	13	64.2383
RTSI	1998-09-02	66.63	66.64	65.29	65.63	13	65.8408
RTSI	1998-09-03	64.09	64.09	61.43	61.43	16	62.7694
RTSI	1998-09-04	60.79	63.13	59.99	63.13	17	62.0147
RTSI	1998-09-07	65.96	66.28	63.28	63.28	14	65.2375
RTSI	1998-09-08	62.85	63.31	62.12	62.61	13	62.9591
RTSI	1998-09-09	62.56	62.68	61.61	61.63	13	61.9589
RTSI	1998-09-10	61.85	67.11	61.85	64.6	15	64.3521
RTSI	1998-09-11	61.14	63.32	61.14	62.31	13	62.829
RTSI	1998-09-14	62.31	64.71	62.31	63.88	17	63.4793
RTSI	1998-09-15	64.21	64.21	62.03	62.03	13	62.681
RTSI	1998-09-16	62.83	62.83	58.86	58.86	13	61.0913
RTSI	1998-09-17	58.86	58.86	51.7	51.7	13	54.7733
RTSI	1998-09-18	52.8	52.8	50.12	50.12	14	51.5753
RTSI	1998-09-21	50.51	50.51	47.81	47.81	13	49.1494
RTSI	1998-09-22	49.16	49.65	48.13	49.65	14	49.0488
RTSI	1998-09-23	50.08	50.21	47.65	47.65	13	49.5161
RTSI	1998-09-24	48.8	48.8	48.31	48.31	13	48.6162
RTSI	1998-09-25	48.31	48.31	47.08	47.08	14	47.3643
RTSI	1998-09-28	47.08	47.65	46.24	46.24	18	46.6921
RTSI	1998-09-29	46.24	46.44	45.86	45.86	13	46.1091
RTSI	1998-09-30	45.82	45.82	43.81	43.81	13	44.5905
RTSI	1998-10-01	43.81	43.81	41.13	41.18	13	41.9289
RTSI	1998-10-02	41.2	41.2	37.74	38.81	16	38.7329
RTSI	1998-10-05	38.81	38.81	37.91	38.53	13	38.4494
RTSI	1998-10-06	38.53	41.05	38.33	41.05	14	40.0047
RTSI	1998-10-07	41.72	43.48	41.72	42.94	9	43.1334
RTSI	1998-10-08	42.78	43.05	41.35	41.35	14	42.2614
RTSI	1998-10-09	41.34	42.69	41.34	42.55	15	42.3238
RTSI	1998-10-12	43.19	44.98	43.19	44.75	17	44.5737
RTSI	1998-10-13	46.28	47.85	46.28	47.67	14	47.2051
RTSI	1998-10-14	48.1	51.89	48.1	51.89	15	50.6115
RTSI	1998-10-15	58.97	60.25	58.25	58.73	15	59.0189
RTSI	1998-10-16	64.57	64.57	55.32	55.32	14	58.7749
RTSI	1998-10-19	56.15	56.76	55.48	55.91	13	56.1427
RTSI	1998-10-20	55.45	56.68	55.21	56.68	15	55.7737
RTSI	1998-10-21	57.78	61.94	57.78	61.94	16	59.693
RTSI	1998-10-22	61.94	62.56	60.8	60.96	17	61.5363
RTSI	1998-10-23	59.5	60.42	59.18	60.42	13	59.7232
RTSI	1998-10-26	59.68	60.69	59.54	59.54	15	60.027
RTSI	1998-10-27	56.75	57.32	56.57	56.89	13	56.9226
RTSI	1998-10-28	54.59	54.59	53.13	53.54	13	53.5961
RTSI	1998-10-29	53.7	56.54	53.7	55.39	13	55.3714
RTSI	1998-10-30	56.7	57.54	56.45	57.54	14	56.7794
RTSI	1998-11-02	57.3	58.57	57.3	58.38	14	58.1472
RTSI	1998-11-03	58.59	59.36	58.59	59.36	13	59.0431
RTSI	1998-11-04	60.1	62.08	60.1	61.07	13	61.4866
RTSI	1998-11-05	63.03	63.18	60.38	60.38	13	62.3541
RTSI	1998-11-06	60.94	61.13	60.35	61.13	20	60.8619
RTSI	1998-11-10	61.21	61.21	60.23	60.67	14	60.7122
RTSI	1998-11-11	60.91	60.91	60.57	60.76	14	60.7341
RTSI	1998-11-12	61.04	61.89	60.53	60.53	16	61.0987
RTSI	1998-11-13	60	60	59.32	59.32	16	59.5843
RTSI	1998-11-16	59.35	59.55	58.85	59.55	13	59.1228
RTSI	1998-11-17	59.88	60.02	59.85	60.02	13	59.9252
RTSI	1998-11-18	60.38	60.38	59.48	59.76	13	59.8636
RTSI	1998-11-19	60.19	60.19	60.03	60.04	13	60.0863
RTSI	1998-11-20	60.6	63.36	60.49	63.36	16	62.3468
RTSI	1998-11-23	68.85	71.13	68.64	70.13	13	69.8745
RTSI	1998-11-24	72.81	73.8	70.66	70.85	13	72.0259
RTSI	1998-11-25	68.23	70.01	68.23	69.15	13	69.2233
RTSI	1998-11-26	69.23	72	69.23	72	13	70.9132
RTSI	1998-11-27	72.17	72.2	71.57	71.57	13	72.034
RTSI	1998-11-30	72.34	72.34	71.46	71.46	13	72.0492
RTSI	1998-12-01	69.9	69.9	67.38	67.74	13	68.2679
RTSI	1998-12-02	67.88	68.13	67.73	68.07	13	67.9552
RTSI	1998-12-03	64.57	65.38	62.88	65.38	13	64.0787
RTSI	1998-12-04	62.89	64	62.32	64	12	63.0315
RTSI	1998-12-07	64	64.16	62.85	63.32	13	63.4528
RTSI	1998-12-08	61.24	61.24	60.44	60.44	14	60.78
RTSI	1998-12-09	59.07	59.32	58.6	58.71	13	58.9106
RTSI	1998-12-10	60.12	61.9	60.12	60.95	13	61.1325
RTSI	1998-12-11	60.41	60.41	58.48	58.67	13	59.2947
RTSI	1998-12-15	58.96	59.35	58.74	58.79	14	58.9859
RTSI	1998-12-16	59.68	60.95	59.68	60.95	13	60.2429
RTSI	1998-12-17	61.62	61.62	60.42	60.42	13	60.7935
RTSI	1998-12-18	59.62	59.62	58.66	59.24	16	59.1972
RTSI	1998-12-21	59.21	60.3	59.21	60.25	13	59.789
RTSI	1998-12-22	60.12	60.66	59.7	60.16	13	60.1839
RTSI	1998-12-23	60.16	60.44	59.9	60.44	13	60.1288
RTSI	1998-12-24	60.5	60.5	59.82	60.11	14	60.0121
RTSI	1998-12-25	59.66	59.94	59.66	59.94	20	59.8581
RTSI	1998-12-28	59.94	60.11	59.49	59.95	13	59.9752
RTSI	1998-12-29	60.09	60.09	59.66	59.68	13	59.9337
RTSI	1998-12-30	59.82	59.82	59.16	59.39	14	59.45
RTSI	1998-12-31	59	59	58.93	58.93	6	58.939
RTSI	1999-01-05	58.93	60.14	58.93	59.7	13	59.7298
RTSI	1999-01-06	60.19	61.34	59.97	61.27	14	60.8444
RTSI	1999-01-10	62.29	62.93	62.08	62.93		
RTSI	1999-01-11	62.36	62.39	61.35	61.35	14	61.8203
RTSI	1999-01-12	60.72	60.72	60.06	60.17	15	60.2528
RTSI	1999-01-13	60.1	60.11	55.64	55.64	13	57.9712
RTSI	1999-01-14	57.16	57.16	56.56	56.94	13	56.8696
RTSI	1999-01-15	55.88	55.93	54.99	55.4	13	55.5197
RTSI	1999-01-18	55.88	55.88	55.48	55.71	13	55.6888
RTSI	1999-01-19	55.79	56.1	55.44	56.1	13	55.8316
RTSI	1999-01-20	56.21	56.99	56.21	56.99	13	56.6534
RTSI	1999-01-21	57.32	58.43	57.32	57.59	15	57.7328
RTSI	1999-01-22	57.57	57.57	55.68	55.68	13	56.7951
RTSI	1999-01-25	55.68	55.89	55.31	55.6	13	55.6222
RTSI	1999-01-26	55.57	55.61	55.51	55.55	13	55.5459
RTSI	1999-01-27	55.42	55.42	55.03	55.03	13	55.1977
RTSI	1999-01-28	54.75	54.75	54.18	54.49	13	54.4865
RTSI	1999-01-29	55.13	55.21	55.04	55.12	12	55.1461
RTSI	1999-02-01	55.29	55.29	55.07	55.09	15	55.1627
RTSI	1999-02-02	55.22	55.22	55.04	55.14	13	55.097
RTSI	1999-02-03	55.12	55.47	55.12	55.3	13	55.3442
RTSI	1999-02-04	55.45	56.03	55.38	55.96	14	55.6336
RTSI	1999-02-05	55.37	55.69	55.37	55.69	13	55.5713
RTSI	1999-02-08	56.04	56.6	56.04	56.6	13	56.3727
RTSI	1999-02-09	58.01	58.94	58.01	58.94	13	58.5214
RTSI	1999-02-10	60.95	63.3	60.95	62.98	13	62.6252
RTSI	1999-02-11	66.78	67.53	65.47	67.53	15	66.4662
